timestamp,sensor_id,corrente_a,corrente_b,corrente_c,desequilibrio_corrente,tensao_a,tensao_b,tensao_c,desequilibrio_tensao,fator_potencia_medio,temp_compressor,temp_camara,porta_aberta,health_score,status_risco,prejuizo_previsto
2026-05-23 12:55:30,estoque_compressor_1,132.0,170.0,138.0,15.91,221.0,214.0,225.0,2.73,0.897,76.5,-14.2,0,72.5,WARNING,0.0
2026-05-23 12:55:51,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-5.7,1,100.0,CRITICAL,925.35
2026-05-23 12:55:53,estoque_compressor_1,110.0,180.0,125.0,30.12,220.0,220.0,220.0,0.0,0.95,,-5.7,1,55.0,CRITICAL,925.35
2026-05-23 12:55:56,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-7.5,1,100.0,CRITICAL,7109.38
2026-05-23 12:58:17,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-7.5,1,100.0,CRITICAL,7109.38
2026-05-23 12:58:29,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-7.5,1,100.0,CRITICAL,7109.38
2026-05-23 12:59:31,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-7.5,1,100.0,CRITICAL,7109.38
2026-05-23 12:59:56,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.81,,-5.7,1,90.8,CRITICAL,925.35
2026-05-23 13:06:09,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-4.6,1,100.0,CRITICAL,5443.75
2026-05-23 13:06:11,estoque_compressor_1,110.0,180.0,125.0,30.12,220.0,220.0,220.0,0.0,0.95,,-4.6,1,55.0,CRITICAL,5443.75
2026-05-23 13:06:14,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-7.5,1,100.0,CRITICAL,7109.38
2026-05-23 13:11:17,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-5.2,223.0,100.0,CRITICAL,5200.0
2026-05-23 13:11:20,estoque_compressor_1,110.0,180.0,125.0,30.12,220.0,220.0,220.0,0.0,0.95,,-5.2,223.0,55.0,CRITICAL,5200.0
2026-05-23 13:11:22,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-7.5,900.0,100.0,CRITICAL,7109.38
2026-05-23 13:12:21,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-5.3,223.0,100.0,CRITICAL,5541.55
2026-05-23 13:15:58,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.81,,-5.5,223.0,90.8,CRITICAL,5642.36
2026-05-23 13:17:13,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-5.5,223.0,100.0,CRITICAL,5454.28
